CustomerID,SignupDate,TransactionDate,Revenue,Quantity,ProductCategory,Region,City,Country,TenureMonths,ChurnFlag,,OK
C0063,5/24/2023,7/27/2023,5.12,1,Beauty,South,New Mariotown,United States,2,No,,
C0321,11/1/2023,12/7/2023,5.14,1,Apparel,South,Williamview,France,1,No,,
C0487,3/18/2023,4/15/2023,5.15,1,Toys,West,Hoffmanville,France,0,No,,
C0293,9/11/2022,4/7/2023,5.24,1,Sports,North,North Judithbury,Germany,6,No,,
C0145,7/18/2023,9/12/2023,5.30,1,Toys,East,Rodneyside,Germany,1,No,,
C0295,4/22/2022,2/28/2023,5.35,1,Sports,West,West Natashaport,United Kingdom,10,Yes,,
C0377,1/21/2023,11/5/2023,5.38,1,Sports,North,Lake Debbie,Germany,9,No,,
C0017,10/26/2023,12/24/2023,5.46,1,Sports,West,North Micheleland,United States,1,No,,
C0249,12/12/2022,4/16/2023,5.46,1,Sports,East,New Roberttown,France,4,No,,
C0152,6/25/2023,12/5/2023,5.47,1,Apparel,North,Sarahborough,Germany,5,No,,
C0227,2/20/2023,3/30/2023,5.48,1,Home,East,New Roberttown,Australia,1,No,,
C0300,12/4/2022,12/10/2022,5.48,1,Beauty,South,Ericmouth,Canada,0,No,,
C0239,5/24/2022,6/20/2023,5.54,1,Home,North,South Christineshire,Germany,13,No,,
C0375,6/4/2022,8/23/2023,5.60,1,Sports,North,Port Jesseville,United States,14,No,,
C0219,2/7/2023,10/11/2023,5.63,1,Home,South,Mooreport,Canada,8,No,,
C0360,7/10/2022,9/28/2022,5.63,1,Toys,South,Adamsborough,United Kingdom,2,Yes,,
C0343,8/8/2022,8/19/2023,5.71,1,Electronics,North,New Kellystad,Australia,12,No,,
C0454,7/8/2022,4/14/2023,5.75,1,Electronics,South,Lake Matthew,Australia,9,No,,
C0336,5/31/2023,9/22/2023,5.77,1,Sports,East,Davidstad,Australia,3,No,,
C0134,8/6/2022,8/31/2023,5.89,1,Toys,South,North Noahstad,Australia,13,Yes,,
C0309,5/19/2023,11/27/2023,5.91,1,Home,South,New Stephanie,Australia,6,No,,
C0125,12/29/2023,12/29/2023,5.91,1,Home,West,East Mikeburgh,United Kingdom,0,No,,
C0173,8/19/2022,5/9/2023,5.93,1,Beauty,South,Adamsborough,France,8,No,,
C0079,7/21/2022,12/27/2023,5.96,1,Beauty,East,Teresaburgh,Germany,17,No,,
C0124,7/28/2023,11/17/2023,6.00,1,Sports,North,Ramirezstad,Germany,3,No,,
C0485,8/11/2022,9/7/2022,6.01,1,Sports,East,Port Jesseville,United Kingdom,0,No,,
C0044,5/20/2023,10/21/2023,6.06,1,Apparel,East,Stevenland,United Kingdom,5,No,,
C0155,6/9/2022,10/29/2023,6.12,1,Home,East,East Jessetown,France,16,No,,
C0198,11/23/2023,11/23/2023,6.14,1,Apparel,South,Brandtside,Australia,0,No,,
C0290,2/24/2023,12/20/2023,6.24,1,Sports,East,Samuelhaven,Australia,9,No,,
C0032,7/15/2023,10/9/2023,6.26,1,Beauty,East,Teresaburgh,Canada,2,No,,
C0392,11/17/2022,12/26/2023,6.31,1,Sports,North,East Nathaniel,Australia,13,No,,
C0251,5/27/2022,5/31/2022,6.34,1,Toys,East,Lake Roberto,United States,0,Yes,,
C0151,6/20/2022,9/12/2022,6.34,1,Beauty,North,East Nathaniel,United States,2,Yes,,
C0004,4/17/2022,8/1/2023,6.45,1,Apparel,East,Adamsborough,United States,15,No,,
C0480,12/23/2022,2/7/2023,6.50,1,Apparel,West,Sarahborough,United Kingdom,1,No,,
C0264,9/20/2022,11/22/2022,6.63,1,Electronics,West,Jasonfort,Canada,2,No,,
C0412,11/23/2023,12/3/2023,6.65,1,Electronics,East,South Todd,United Kingdom,0,No,,
C0191,11/15/2023,12/5/2023,6.69,1,Electronics,North,East Mikeburgh,United Kingdom,0,No,,
C0307,2/2/2023,6/25/2023,6.69,1,Sports,North,New Jessica,Canada,4,No,,
C0048,1/21/2022,2/3/2023,6.71,1,Electronics,North,Shieldston,Australia,12,No,,
C0180,9/20/2023,11/28/2023,6.72,1,Home,East,Martinezbury,United States,2,No,,
C0152,6/25/2023,10/30/2023,6.77,1,Sports,North,North Micheleland,United Kingdom,4,No,,
C0089,12/21/2023,12/21/2023,6.79,1,Sports,West,Hoffmanville,Canada,0,No,,
C0004,4/17/2022,1/10/2023,6.84,1,Home,West,Ramirezstad,Australia,8,No,,
C0064,2/4/2022,11/14/2022,6.87,1,Beauty,North,Hoffmanville,France,9,Yes,,
C0238,5/26/2023,11/5/2023,6.89,1,Beauty,East,South David,Germany,5,No,,
C0389,2/5/2022,11/24/2023,6.92,1,Sports,East,North Matthewberg,France,21,No,,
C0301,12/7/2023,12/8/2023,6.94,1,Sports,North,North John,Canada,0,No,,
C0305,6/10/2022,2/21/2023,6.95,1,Sports,East,East Lydiamouth,United States,8,No,,
C0147,4/30/2023,12/17/2023,6.97,1,Beauty,West,Adamsborough,France,7,No,,
C0039,7/9/2022,4/19/2023,6.99,1,Sports,East,Herrerafurt,Canada,9,No,,
C0085,9/9/2022,10/8/2022,7.01,1,Electronics,East,Lake Mark,United Kingdom,0,No,,
C0324,12/31/2022,5/18/2023,7.02,1,Electronics,West,West Michael,Australia,4,No,,
C0306,8/3/2023,12/20/2023,7.05,1,Home,West,Lake Crystalbury,Canada,4,No,,
C0365,5/8/2022,4/23/2023,7.06,1,Toys,South,Lake Leeton,United States,11,No,,
C0026,10/4/2022,12/22/2023,7.06,1,Toys,West,West Allison,Canada,14,No,,
C0101,12/10/2022,12/17/2022,7.13,1,Toys,North,East Josephville,Australia,0,No,,
C0254,5/4/2023,5/8/2023,7.17,1,Electronics,North,Tashatown,Germany,0,No,,
C0485,8/11/2022,1/30/2023,7.18,1,Sports,South,Martinezbury,United Kingdom,5,No,,
C0282,2/8/2023,5/15/2023,7.20,1,Toys,West,Ericmouth,Germany,3,Yes,,
C0315,2/2/2022,5/7/2023,7.27,1,Home,North,East Courtneychester,Germany,15,Yes,,
C0340,5/27/2023,6/8/2023,7.28,1,Toys,East,Lisatown,France,0,No,,
C0007,1/21/2022,8/4/2022,7.29,1,Toys,South,Sarahborough,United Kingdom,6,No,,
C0094,1/15/2023,6/12/2023,7.33,1,Home,West,West Donald,Canada,4,No,,
C0140,7/8/2023,8/13/2023,7.47,1,Electronics,North,Ramirezstad,United States,1,No,,
C0282,2/8/2023,6/3/2023,7.49,1,Beauty,East,East Donna,Australia,3,Yes,,
C0254,5/4/2023,10/31/2023,7.52,1,Home,South,East Lydiamouth,Canada,6,No,,
C0360,7/10/2022,6/9/2023,7.54,1,Electronics,South,Herrerafurt,United Kingdom,11,Yes,,
C0168,11/27/2022,1/7/2023,7.57,1,Toys,South,East Lydiamouth,Australia,1,No,,
C0414,2/23/2022,3/19/2022,7.59,1,Home,North,West Michael,Germany,0,Yes,,
C0403,11/29/2023,12/27/2023,7.65,1,Apparel,East,New Mariotown,Canada,0,No,,
C0197,8/21/2022,3/6/2023,7.67,1,Electronics,North,Coxberg,United Kingdom,6,No,,
C0483,4/10/2022,8/31/2023,7.77,1,Electronics,West,Lisatown,France,16,Yes,,
C0187,11/14/2022,11/18/2023,7.79,1,Apparel,South,North Judithbury,United States,12,No,,
C0452,8/25/2022,10/13/2022,7.79,1,Apparel,South,Coxberg,Germany,1,No,,
C0329,8/14/2022,3/31/2023,7.85,1,Home,West,Lake Nicoleview,Canada,7,Yes,,
C0087,10/23/2022,8/27/2023,7.87,1,Sports,South,Port Colleenhaven,France,10,Yes,,
C0283,6/1/2022,2/18/2023,7.93,1,Sports,West,South Christineshire,Germany,8,No,,
C0492,12/2/2022,12/20/2023,8.01,1,Toys,North,Stevenland,United States,12,No,,
C0281,5/11/2022,5/3/2023,8.03,1,Home,South,North Cynthiaview,United Kingdom,11,Yes,,
C0496,4/20/2023,6/16/2023,8.07,1,Sports,West,South Noah,France,1,Yes,,
C0238,5/26/2023,6/10/2023,8.09,1,Toys,South,South Patrickmouth,Canada,0,No,,
C0281,5/11/2022,6/30/2022,8.11,1,Electronics,West,South Patrickmouth,United Kingdom,1,Yes,,
C0384,11/13/2023,12/8/2023,8.22,1,Beauty,East,Lake Roberto,United States,0,No,,
C0125,12/29/2023,12/29/2023,8.23,1,Beauty,North,Juliechester,Canada,0,No,,
C0455,12/5/2023,12/22/2023,8.25,1,Beauty,South,New Stephanie,United States,0,No,,
C0390,11/16/2023,12/10/2023,8.32,1,Sports,East,North Noahstad,United States,0,No,,
C0050,10/1/2022,7/21/2023,8.37,1,Toys,North,Tashatown,United Kingdom,9,No,,
C0205,1/21/2023,3/31/2023,8.38,1,Sports,South,Ramirezstad,United Kingdom,2,No,,
C0059,4/2/2022,12/8/2023,8.40,1,Beauty,South,New David,Germany,20,No,,
C0331,9/1/2023,10/7/2023,8.43,1,Sports,South,Shieldston,France,1,No,,
C0247,10/22/2023,11/10/2023,8.44,1,Toys,West,West Donald,France,0,No,,
C0157,8/31/2022,4/17/2023,8.54,1,Home,East,Gomezchester,France,7,Yes,,
C0051,1/23/2023,3/30/2023,8.57,1,Sports,North,Sarahborough,France,2,Yes,,
C0025,7/11/2022,7/11/2022,8.58,1,Toys,East,East Nicholasfurt,United States,0,No,,
C0425,2/16/2022,12/26/2022,8.59,1,Electronics,South,Jacquelineland,France,10,No,,
C0050,10/1/2022,3/13/2023,8.68,1,Toys,South,North John,United Kingdom,5,No,,
C0387,6/9/2023,12/15/2023,8.68,1,Beauty,West,Lake Larry,Canada,6,No,,
C0309,5/19/2023,5/24/2023,8.71,1,Beauty,North,Ramirezstad,Germany,0,No,,
C0182,12/25/2022,9/9/2023,8.73,1,Beauty,North,Jacquelineland,France,8,Yes,,
C0081,9/28/2022,6/5/2023,8.75,1,Beauty,West,West Andrewside,France,8,No,,
C0142,11/22/2023,12/11/2023,8.76,1,Electronics,West,Rodneyside,Canada,0,No,,
C0312,7/14/2022,5/18/2023,8.77,1,Sports,North,Adamsborough,United States,10,Yes,,
C0295,4/22/2022,4/19/2023,8.79,1,Electronics,North,Brandtside,Australia,12,Yes,,
C0358,12/1/2023,12/26/2023,8.90,1,Apparel,South,North Jessicaland,Canada,0,No,,
C0143,7/29/2023,8/29/2023,8.93,1,Apparel,South,Lake Crystalbury,Canada,1,No,,
C0028,4/5/2023,6/5/2023,8.96,1,Electronics,West,Brandtside,United States,2,No,,
C0108,8/16/2023,9/29/2023,9.00,1,Beauty,South,Saramouth,United Kingdom,1,No,,
C0213,1/2/2022,5/18/2022,9.04,1,Sports,North,Saramouth,United States,4,Yes,,
C0428,1/5/2023,4/23/2023,9.06,1,Home,East,Herrerafurt,United States,3,No,,
C0079,7/21/2022,9/26/2023,9.11,1,Home,West,Rodneyside,Canada,14,No,,
C0467,3/10/2022,6/10/2023,9.15,1,Apparel,West,East Josephville,France,15,No,,
C0227,2/20/2023,8/19/2023,9.21,1,Beauty,West,Shieldston,United Kingdom,6,No,,
C0007,1/21/2022,6/30/2023,9.22,1,Beauty,North,Cassandraton,Canada,17,No,,
C0413,11/13/2023,12/6/2023,9.22,1,Electronics,North,Bassport,Australia,0,No,,
C0283,6/1/2022,12/11/2022,9.24,1,Toys,North,Davidstad,Canada,6,No,,
C0474,3/8/2023,7/23/2023,9.32,1,Sports,North,Lake Larry,Canada,4,No,,
C0403,11/29/2023,12/17/2023,9.34,1,Beauty,West,West Donald,Germany,0,No,,
C0070,1/25/2023,10/3/2023,9.36,1,Toys,South,East Josephville,France,8,No,,
C0033,4/20/2023,6/20/2023,9.38,1,Apparel,South,Leeville,Australia,2,No,,
C0090,12/4/2022,4/23/2023,9.42,1,Beauty,East,Lake Crystalbury,Canada,4,No,,
C0201,3/18/2023,12/27/2023,9.44,1,Beauty,East,Port Jacobland,Germany,9,No,,
C0264,9/20/2022,11/15/2022,9.45,1,Sports,West,Jasonfort,France,1,No,,
C0133,1/5/2022,6/19/2022,9.46,1,Toys,South,Ericmouth,United Kingdom,5,Yes,,
C0282,2/8/2023,7/29/2023,9.48,1,Beauty,West,West Donald,United Kingdom,5,Yes,,
C0375,6/4/2022,6/26/2022,9.54,1,Home,South,Mooreport,Germany,0,No,,
C0498,11/21/2023,12/12/2023,9.61,1,Home,South,Adamsborough,Canada,0,No,,
C0317,4/5/2023,4/26/2023,9.64,1,Electronics,West,Shieldston,Canada,0,No,,
C0275,6/9/2022,6/15/2022,9.67,1,Toys,North,New Jessica,Australia,0,No,,
C0377,1/21/2023,3/4/2023,9.71,1,Apparel,South,North Richardmouth,United States,1,No,,
C0052,8/24/2023,11/13/2023,9.79,1,Home,North,Taylorburgh,United States,2,No,,
C0095,5/8/2023,12/16/2023,9.82,1,Electronics,North,East Jamesside,Australia,7,No,,
C0279,10/21/2023,12/9/2023,9.90,1,Sports,South,East Jessetown,France,1,No,,
C0321,11/1/2023,12/16/2023,9.90,1,Beauty,South,West Michael,Australia,1,No,,
C0084,12/28/2023,12/29/2023,10.01,1,Beauty,North,Williamview,Australia,0,No,,
C0041,7/17/2023,9/16/2023,10.12,1,Home,West,East Jill,Australia,2,No,,
C0052,8/24/2023,12/15/2023,10.12,1,Sports,South,East Jill,Germany,3,No,,
C0230,7/22/2022,10/7/2022,10.20,1,Electronics,East,East Jessetown,United States,2,No,,
C0029,11/10/2022,6/7/2023,10.29,1,Home,East,Williamview,Australia,6,Yes,,
C0442,10/3/2023,12/1/2023,10.30,1,Sports,West,Lake Matthew,France,1,No,,
C0293,9/11/2022,3/24/2023,10.33,1,Beauty,East,Port Jesseville,United States,6,No,,
C0175,8/13/2022,11/29/2023,10.36,1,Beauty,East,South Aaron,United Kingdom,15,No,,
C0163,10/8/2023,11/30/2023,10.43,1,Electronics,North,Port Keith,Canada,1,No,,
C0043,9/1/2022,8/25/2023,10.47,1,Toys,East,North Matthewberg,Germany,11,No,,
C0457,8/4/2023,9/23/2023,10.48,1,Apparel,West,New Jessica,Canada,1,No,,
C0269,1/2/2022,3/31/2023,10.48,1,Beauty,North,West Donald,Canada,15,Yes,,
